afstemningsarea_navn;afgivne;stemmeberrettigede;opstillingskreds_navn;opstillingskreds_id;afstemningsarea_id;Dansk Folkeparti;Det Konservative Folkeparti;Folkebevægelsen mod EU;Liberal Alliance;Radikale Venstre;SF - Socialistisk Folkeparti;Socialdemokratiet;Venstre, Danmarks Liberale Parti
Assens;2887;5413;Assens;43;1;797;410;180;39;84;193;685;438
Ebberup;692;1308;Assens;43;2;176;103;25;8;25;43;180;113
Turup;417;669;Assens;43;3;109;65;30;11;16;29;79;63
Salbrovad;389;696;Assens;43;4;116;72;27;6;11;36;53;62
Helnæs;140;193;Assens;43;5;41;17;9;1;7;18;22;23
Køng;484;747;Assens;43;6;103;85;33;5;19;55;95;73
Glamsbjerg;1145;1947;Assens;43;7;281;173;77;12;46;119;279;131
Flemløse;487;848;Assens;43;8;146;93;43;3;12;17;84;74
Søllested;239;387;Assens;43;9;66;31;32;3;4;22;39;37
Ørsted;238;422;Assens;43;10;57;45;14;3;10;26;40;39
Dreslette;421;646;Assens;43;11;94;82;24;5;19;32;76;82
Haarby;1438;2586;Assens;43;12;378;287;58;17;57;83;291;236
Jordløse;316;524;Assens;43;13;79;41;23;3;19;32;60;43
Brylle;818;1280;Assens;43;14;197;163;47;10;25;63;174;120
Tommerup;888;1493;Assens;43;15;228;160;51;14;41;77;181;116
Tommerup St;1113;1770;Assens;43;16;233;197;64;25;52;112;282;123
Verninge;539;891;Assens;43;17;153;122;31;10;14;38;89;66
Nårup;217;375;Assens;43;18;65;37;16;1;2;10;48;33
Vissenbjerg;2585;4528;Assens;43;19;691;480;186;47;94;210;505;311
Aarup;1515;2559;Assens;43;20;400;296;58;17;79;79;333;225
Kerte;292;526;Assens;43;21;90;40;15;2;6;20;45;69
Orte;370;596;Assens;43;22;85;55;33;9;16;41;74;51
Rørup;341;583;Assens;43;23;109;66;24;6;14;14;49;48
Tapeten;2370;4291;Ballerup;77;24;873;121;221;34;89;183;622;183
Rugvængets Skole;3281;6338;Ballerup;77;25;1133;133;402;55;123;320;790;246
Højagerskolen;1723;2680;Ballerup;77;26;465;150;139;52;109;170;419;187
Grantoftehallen;1435;2826;Ballerup;77;27;591;52;155;16;40;113;346;90
Rosenlundskolen;2539;3731;Ballerup;77;28;644;229;164;73;185;240;609;331
Lundebjergskolen;1975;3860;Ballerup;77;29;785;55;238;29;55;168;510;87
Tidl. Skovlunde Lokalkontor;1044;1684;Ballerup;77;30;259;94;61;30;77;105;252;135
Måløv Skole;2666;4109;Ballerup;77;31;628;252;164;55;226;320;612;356
Egebjerghallen;2338;3249;Ballerup;77;32;493;194;164;85;191;314;528;319
Østerhøjhallen;1445;2076;Ballerup;77;33;318;105;124;50;121;224;295;171
Nordvangskolen;1456;2312;Ballerup;77;34;475;117;100;51;85;139;271;188
Sognegården;1409;2545;Ballerup;77;35;428;111;109;33;84;142;271;190
Søndervangskolen;2054;4182;Ballerup;77;36;737;121;186;51;91;178;404;239
Vestervangskolen;1569;3140;Ballerup;77;37;689;39;174;15;52;128;374;63
Ejbyskolen;991;1442;Ballerup;77;38;279;114;67;36;62;56;128;227
Hvissingehallen;1522;2629;Ballerup;77;39;555;91;134;25;47;116;318;197
Klemensker;947;2016;Rønne;63;40;251;61;77;12;21;41;287;176
Rønne;5846;11250;Rønne;63;41;1266;293;483;46;146;376;2397;699
Hasle;1305;2304;Rønne;63;42;329;54;110;12;33;64;461;199
Allinge;1480;2878;Aakirkeby;64;43;360;57;149;18;29;109;474;233
Østermarie;1282;2381;Aakirkeby;64;44;325;70;171;16;33;117;314;212
Svaneke;1077;1736;Aakirkeby;64;45;181;64;177;20;44;105;324;144
Nexø;1739;3592;Aakirkeby;64;46;405;93;156;21;58;96;627;237
Pedersker;795;1368;Aakirkeby;64;47;225;45;65;5;11;31;254;139
Aakirkeby;2162;4259;Aakirkeby;64;48;486;132;159;23;44;115;776;362
Christiansø;56;65;Aakirkeby;64;49;16;2;8;1;0;12;10;1
Brøndbyvester Skole;1920;3252;Brøndby;79;50;680;108;148;174;72;46;445;212
Tjørnehøjhallen;1733;3517;Brøndby;79;51;659;62;190;23;58;140;379;171
Brøndbyøster Skole;1655;3054;Brøndby;79;52;603;83;178;29;52;164;364;136
Nørregård;2875;5529;Brøndby;79;53;990;146;333;53;111;259;713;211
Kulturhuset Brønden;3845;8559;Brøndby;79;54;1342;209;351;96;201;367;871;339
Ishøj Landsby;786;1221;Brøndby;79;55;249;70;58;27;38;75;140;110
Vibeholmskolen;1435;2627;Brøndby;79;56;536;65;119;22;42;113;356;148
Gildbroskolen;1580;3186;Brøndby;79;57;637;80;144;26;56;153;330;115
Strandgårdskolen;787;2494;Brøndby;79;58;264;24;102;16;31;84;216;35
Ishøj Bycenter;2118;3949;Brøndby;79;59;783;113;170;52;92;181;490;208
Vallensbæk Skole, Multisalen;1680;3327;Brøndby;79;60;536;241;113;61;127;108;268;192
Egholmskolen;2007;3139;Brøndby;79;61;593;315;136;66;115;124;381;245
Pilehaveskolen;2496;3894;Brøndby;79;62;751;375;155;81;138;177;450;333
Agersted;344;673;Brønderslev;3;63;97;24;27;13;13;19;76;67
Asaa;647;1433;Brønderslev;3;64;218;23;65;19;18;35;148;107
Dronninglund;1911;3774;Brønderslev;3;65;529;169;132;34;61;135;417;390
Flauenskjold;450;1014;Brønderslev;3;66;131;34;31;11;11;24;86;115
Hjallerup;1766;3210;Brønderslev;3;67;444;129;93;61;52;83;486;383
