afstemningsarea_navn;afgivne;gyldige;stemmeberrettigede;opstillingskreds_navn;opstillingskreds_id;afstemningsarea_id;Ja-stemmer;nej-stemmer
Assens;3;0;5;Assens;43;1;1704;1018
Ebberup;683;0;1;Assens;43;2;421;243
Turup;413;0;661;Assens;43;3;238;163
Salbrovad;389;0;695;Assens;43;4;235;144
Helnæs;138;0;188;Assens;43;5;81;54
Køng;482;0;745;Assens;43;6;281;175
Glamsbjerg;1;0;2;Assens;43;7;668;424
Flemløse;480;0;843;Assens;43;8;261;203
Søllested;238;0;385;Assens;43;9;121;107
Ørsted;235;0;420;Assens;43;10;135;85
Dreslette;419;0;645;Assens;43;11;266;133
Haarby;1;0;3;Assens;43;12;873;496
Jordløse;311;0;520;Assens;43;13;188;106
Brylle;817;0;1;Assens;43;14;530;258
Tommerup;875;0;1;Assens;43;15;539;302
Tommerup St;1;0;2;Assens;43;16;696;364
Verninge;537;0;889;Assens;43;17;311;193
Nårup;218;0;375;Assens;43;18;125;83
Vissenbjerg;3;0;5;Assens;43;19;1500;960
Aarup;2;0;3;Assens;43;20;958;501
Kerte;292;0;525;Assens;43;21;167;107
Orte;366;0;594;Assens;43;22;223;124
Rørup;339;0;583;Assens;43;23;188;134
Tapeten;2;0;4;Ballerup;77;24;1161;1127
Rugvængets Skole;3;0;6;Ballerup;77;25;1577;1563
Højagerskolen;2;0;3;Ballerup;77;26;1028;629
Grantoftehallen;1;0;3;Ballerup;77;27;662;726
Rosenlundskolen;3;0;4;Ballerup;77;28;1603;810
Lundebjergskolen;2;0;4;Ballerup;77;29;908;985
Tidl. Skovlunde Lokalkontor;1;0;2;Ballerup;77;30;658;339
Måløv Skole;3;0;4;Ballerup;77;31;1667;862
Egebjerghallen;2;0;3;Ballerup;77;32;1526;707
Østerhøjhallen;1;0;2;Ballerup;77;33;893;488
Nordvangskolen;1;0;2;Ballerup;77;34;822;584
Sognegården;1;0;3;Ballerup;77;35;784;557
Søndervangskolen;2;0;4;Ballerup;77;36;999;980
Vestervangskolen;2;0;3;Ballerup;77;37;627;880
Ejbyskolen;980;0;1;Ballerup;77;38;603;347
Hvissingehallen;2;0;3;Ballerup;77;39;799;668
Klemensker;936;0;2;Rønne;63;40;548;356
Rønne;6;0;11;Rønne;63;41;3669;1847
Hasle;1;0;2;Rønne;63;42;774;458
Allinge;1;0;3;Aakirkeby;64;43;878;502
Østermarie;1;0;2;Aakirkeby;64;44;694;520
Svaneke;1;0;2;Aakirkeby;64;45;640;370
Nexø;2;0;4;Aakirkeby;64;46;1001;655
Pedersker;792;0;1;Aakirkeby;64;47;465;296
Aakirkeby;2;0;4;Aakirkeby;64;48;1308;717
Christiansø;55;0;64;Aakirkeby;64;49;21;33
Brøndbyvester Skole;2;0;3;Brøndby;79;50;1076;768
Tjørnehøjhallen;2;0;4;Brøndby;79;51;852;817
Brøndbyøster Skole;2;0;3;Brøndby;79;52;799;778
Nørregård;3;0;6;Brøndby;79;53;1372;1383
Kulturhuset Brønden;4;0;9;Brøndby;79;54;1993;1708
Ishøj Landsby;781;0;1;Brøndby;79;55;480;275
Vibeholmskolen;1;0;3;Brøndby;79;56;777;604
Gildbroskolen;2;0;3;Brøndby;79;57;755;764
Strandgårdskolen;775;0;2;Brøndby;79;58;360;398
Ishøj Bycenter;2;0;4;Brøndby;79;59;1140;871
Vallensbæk Skole, Multisalen;2;0;3;Brøndby;79;60;993;608
Egholmskolen;2;0;3;Brøndby;79;61;1273;655
Pilehaveskolen;2;0;4;Brøndby;79;62;1543;833
